Rank,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0
5,Pokemon Red/Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01
8,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62
10,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
11,Super Mario World,SNES,1990,Platform,Nintendo,20.61,2.26,3.54,0.58,26.93
12,Nintendogs,DS,2005,Simulation,Nintendo,9.07,6.85,1.93,2.52,24.76
13,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42
14,Pokemon Gold/Silver,GB,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1
15,Call of Duty: Black Ops,X360,2010,Shooter,Activision,14.64,6.14,0.45,1.41,22.64
16,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,13.3,4.97,3.25,1.03,22.55
17,Brain Age,DS,2005,Misc,Nintendo,4.75,9.26,5.4,2.65,22.06
18,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82
19,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
20,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
21,Pokemon Diamond/Pearl,DS,2006,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36
22,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,11.17,4.7,0.36,1.23,17.45
23,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
24,Pokemon X/Y,3DS,2013,Role-Playing,Nintendo,6.61,4.2,4.2,1.0,16.01
25,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.97,5.68,1.87,1.04,15.56
26,Pokemon Black/White,DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32
27,Just Dance 3,Wii,2011,Misc,Ubisoft,4.46,8.25,0.25,1.27,14.23
28,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,1.54,13.06
29,Minecraft,X360,2013,Misc,Microsoft Game Studios,6.44,4.46,0.46,1.68,13.04
30,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda,7.17,4.23,0.21,1.2,12.81
31,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.94,3.48,0.12,0.8,12.34
32,FIFA 16,PS4,2015,Sports,Electronic Arts,2.37,7.51,0.08,1.3,11.26
33,Call of Duty: Ghosts,X360,2013,Shooter,Activision,7.18,3.06,0.09,0.86,11.19
34,FIFA 15,PS3,2014,Sports,Electronic Arts,2.44,7.16,0.09,1.38,11.07
35,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,3.12,5.35,0.92,1.5,10.89
36,FIFA 14,PS3,2013,Sports,Electronic Arts,1.76,6.91,0.08,1.56,10.31
37,Frogger,2600,1982,Action,Parker Brothers,6.54,2.65,0.0,0.58,9.77
38,Pac-Man,2600,1982,Puzzle,Atari,7.81,1.18,0.0,0.57,9.57
39,FIFA 13,PS3,2012,Sports,Electronic Arts,1.69,6.27,0.07,1.33,9.36
40,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,4.52,2.69,0.64,0.65,8.5
41,Batman: Arkham City,X360,2011,Action,Warner Bros.,4.41,2.41,0.09,0.68,7.59
42,Resident Evil 5,PS3,2009,Action,Capcom,2.39,2.61,1.01,0.93,6.94
43,Assassins Creed III,X360,2012,Action,Ubisoft,3.67,2.39,0.06,0.74,6.86
44,Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,3.28,2.14,0.47,0.74,6.63
45,Borderlands 2,X360,2012,Shooter,2K Games,3.96,1.82,0.04,0.63,6.45
46,Metroid 15640,PC,2000,Action,LucasArts,4.61,1.04,0.72,0.07,6.44
47,Crash Bandicoot 5086,PS3,1993,Simulation,Sega,3.88,0.87,0.97,0.63,6.35
48,Diablo III,PC,2012,Role-Playing,Activision,2.71,2.46,0.27,0.81,6.25
49,Silent Hill 2842,PSP,1984,Sports,LucasArts,3.24,1.97,0.52,0.3,6.03
50,Silent Hill 2037,3DS,2009,Shooter,Square Enix,3.28,1.42,0.81,0.36,5.87
51,Dragon Quest 5607,GBA,2011,Action,Bandai,1.34,2.8,1.65,0.08,5.87
52,Madden NFL 14424,SAT,2003,Adventure,Nintendo,2.91,2.76,0.08,0.02,5.77
53,Donkey Kong 5606,GBA,1988,Platform,Bethesda,3.82,1.03,0.82,0.1,5.77
54,F-Zero 9165,X360,1981,Misc,THQ,3.76,1.34,0.31,0.34,5.75
55,F-Zero 6071,PSP,1985,Sports,Ubisoft,4.74,0.23,0.56,0.1,5.63
56,Crash Bandicoot 7664,X360,2004,Role-Playing,Sony Computer Entertainment,4.91,0.45,0.12,0.12,5.6
57,Castlevania 5547,PS,1992,Role-Playing,Nintendo,2.87,2.46,0.25,0.02,5.6
58,Final Fantasy 12853,Wii,1999,Platform,Capcom,3.72,0.82,0.61,0.38,5.53
59,Metal Gear Solid 554,DS,1999,Platform,Nintendo,5.16,0.09,0.05,0.18,5.48
60,Mega Man 8910,3DS,1981,Platform,Electronic Arts,2.55,2.55,0.0,0.14,5.24
61,Street Fighter 13059,WiiU,2001,Simulation,Namco Bandai,2.77,1.02,0.73,0.7,5.22
62,Dead or Alive 11621,Wii,1995,Fighting,Bandai,3.43,1.26,0.28,0.24,5.21
63,Spyro 12240,PSP,1993,Role-Playing,Square Enix,0.3,2.76,1.9,0.25,5.21
64,Kirby 8223,DS,2012,Racing,Sony Computer Entertainment,3.54,1.32,0.23,0.04,5.13
65,Dragon Quest 585,XB,2008,Platform,LucasArts,0.02,3.88,0.96,0.21,5.07
66,Dragon Quest 14092,3DS,1985,Puzzle,505 Games,1.82,0.71,1.61,0.9,5.04
67,Tekken 8852,PSP,2014,Platform,Electronic Arts,2.94,0.79,1.2,0.08,5.01
68,Star Fox 5141,GBA,1998,Racing,Take-Two Interactive,0.34,4.35,0.2,0.11,5.0
69,Spyro 1567,XB,1986,Misc,Take-Two Interactive,3.53,0.01,1.25,0.19,4.98
70,Donkey Kong 12977,GBA,2006,Adventure,Bethesda,1.55,2.53,0.25,0.64,4.97
71,Metal Gear Solid 9641,N64,1997,Sports,Konami,3.12,1.03,0.77,0.02,4.94
72,Donkey Kong 5883,XB,2001,Strategy,Take-Two Interactive,2.0,2.92,0.02,0.0,4.94
73,Crash Bandicoot 1099,X360,1991,Racing,Electronic Arts,4.18,0.19,0.32,0.21,4.9
74,Street Fighter 8426,GC,1990,Role-Playing,Atari,1.46,3.17,0.14,0.13,4.9
75,Castlevania 4931,NES,2016,Platform,Capcom,2.17,2.41,0.12,0.16,4.86
76,Star Fox 10325,SNES,2014,Platform,Namco Bandai,1.21,1.33,1.96,0.34,4.84
77,Silent Hill 9349,GC,2001,Adventure,Capcom,3.51,0.74,0.42,0.16,4.83
78,Mega Man 3060,SAT,2014,Misc,Deep Silver,4.06,0.56,0.15,0.04,4.81
79,Dragon Quest 573,SNES,2003,Platform,LucasArts,4.02,0.2,0.28,0.28,4.78
80,Mortal Kombat 11340,PS3,1992,Strategy,Ubisoft,2.5,1.02,1.08,0.16,4.76
81,Dead or Alive 4973,NES,1983,Misc,Ubisoft,2.22,1.77,0.73,0.02,4.74
82,The Sims 3,PC,2009,Simulation,Electronic Arts,1.68,2.18,0.13,0.71,4.7
83,NBA 6947,PSP,2013,Strategy,LucasArts,0.9,2.6,0.79,0.41,4.7
84,Donkey Kong 15625,PS2,2009,Misc,Nintendo,3.64,0.06,0.48,0.52,4.7
85,Tiger Woods PGA Tour 2966,SAT,1989,Adventure,Konami,4.26,0.1,0.3,0.04,4.7
86,Tomb Raider 12750,N64,1993,Simulation,Atari,2.05,0.72,1.12,0.79,4.68
87,Tekken 14584,3DS,1993,Platform,Electronic Arts,2.88,0.9,0.54,0.34,4.66
88,F-Zero 2690,PC,1980,Shooter,Nintendo,3.01,1.23,0.35,0.07,4.66
89,Mortal Kombat 5367,XOne,1989,Role-Playing,Namco Bandai,0.8,3.11,0.61,0.1,4.62
90,Street Fighter 13186,X360,1999,Shooter,Capcom,3.0,1.38,0.05,0.19,4.62
91,Dragon Quest 1233,XB,2010,Adventure,505 Games,3.83,0.06,0.21,0.52,4.62
92,Star Fox 1990,GC,1984,Racing,THQ,2.88,0.49,0.97,0.26,4.6
93,Metroid 7505,PSP,1993,Action,Ubisoft,0.88,2.57,0.74,0.41,4.6
94,Silent Hill 6090,PC,1983,Adventure,Nintendo,2.91,1.23,0.12,0.31,4.57
95,Dead or Alive 6306,3DS,1990,Sports,Bandai,1.8,0.1,1.84,0.8,4.54
96,Madden NFL 2676,PS4,2004,Action,LucasArts,3.98,0.04,0.35,0.16,4.53
97,Street Fighter 15304,Wii,2001,Racing,Activision,1.38,1.69,0.42,1.02,4.51
98,F-Zero 918,SAT,1998,Simulation,Take-Two Interactive,4.18,0.03,0.21,0.09,4.51
99,NBA 5695,3DS,2011,Misc,THQ,1.15,2.64,0.15,0.57,4.51
100,NCAA Football 15090,GC,1996,Racing,Bandai,1.4,0.26,2.47,0.38,4.51
101,Tekken 6972,GBA,2008,Strategy,2K Games,2.65,0.69,0.72,0.44,4.5
102,Silent Hill 10073,NES,2005,Strategy,Nintendo,1.59,2.39,0.36,0.16,4.5
103,Metroid 15228,WiiU,2015,Racing,Deep Silver,2.72,1.4,0.35,0.02,4.49
104,Street Fighter 2257,PS,1992,Strategy,Microsoft Game Studios,1.81,1.94,0.59,0.15,4.49
105,Silent Hill 9351,PC,2016,Racing,THQ,2.18,1.64,0.13,0.54,4.49
106,Final Fantasy 2926,XB,2005,Misc,Atari,2.03,0.44,1.38,0.63,4.48
107,Tomb Raider 11955,PS4,1999,Platform,Ubisoft,3.28,0.81,0.33,0.05,4.47
108,Spyro 7971,PSP,2006,Misc,Konami,4.01,0.33,0.13,0.0,4.47
109,Madden NFL 13303,PSP,2013,Role-Playing,Microsoft Game Studios,1.68,1.53,0.01,1.24,4.46
110,Metal Gear Solid 1447,PS4,2009,Shooter,Activision,2.77,1.56,0.11,0.02,4.46
111,Dead or Alive 4608,XB,1989,Simulation,Bethesda,0.14,3.37,0.63,0.31,4.45
112,F-Zero 14720,PSP,2008,Misc,Deep Silver,2.61,1.55,0.04,0.25,4.45
113,Star Fox 11921,DS,1998,Adventure,Atari,1.7,2.49,0.14,0.11,4.44
114,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.09,1.53,0.25,0.56,4.43
115,Mega Man 2136,PS3,1994,Puzzle,Capcom,3.58,0.37,0.32,0.15,4.42
116,Kirby 13411,WiiU,2012,Role-Playing,Deep Silver,0.94,2.11,0.67,0.7,4.42
117,Tiger Woods PGA Tour 862,PC,1999,Misc,Activision,1.15,1.94,0.63,0.69,4.41
118,Tiger Woods PGA Tour 4229,XOne,2014,Role-Playing,Nintendo,0.73,2.68,0.92,0.08,4.41
119,Kirby 1374,WiiU,1993,Misc,Take-Two Interactive,3.29,0.66,0.44,0.01,4.4
120,NCAA Football 5764,X360,1997,Shooter,Activision,3.14,0.56,0.16,0.53,4.39
121,Spyro 15690,DC,2015,Fighting,Sega,2.48,1.64,0.25,0.01,4.38
122,Spyro 11476,PS4,1985,Strategy,Activision,1.51,2.36,0.48,0.03,4.38
123,NBA 10536,PSP,2005,Platform,Nintendo,0.81,2.32,1.01,0.24,4.38
124,Tiger Woods PGA Tour 11263,XB,2006,Fighting,Sega,2.08,2.26,0.01,0.02,4.37
125,Spyro 3390,PS2,2010,Strategy,Nintendo,2.19,1.16,0.91,0.11,4.37
126,Castlevania 13356,X360,1998,Simulation,Konami,3.07,0.91,0.13,0.26,4.37
127,Pro Evolution Soccer 14595,WiiU,2014,Shooter,Take-Two Interactive,0.31,3.69,0.19,0.16,4.35
128,Madden NFL 15357,PS,1997,Misc,Konami,2.32,1.58,0.13,0.32,4.35
129,Metroid 11853,3DS,2014,Action,505 Games,3.59,0.17,0.55,0.04,4.35
130,Metal Gear Solid 387,DS,1983,Simulation,Atari,3.09,1.11,0.06,0.08,4.34
131,Kirby 9638,3DS,1997,Action,Microsoft Game Studios,3.43,0.32,0.16,0.42,4.33
132,Crash Bandicoot 3181,3DS,1989,Shooter,Capcom,3.4,0.39,0.49,0.05,4.33
133,Kirby 9587,X360,1998,Puzzle,Deep Silver,0.23,3.77,0.13,0.19,4.32
134,Dragon Quest 11581,PS3,2000,Fighting,Capcom,2.78,1.01,0.48,0.04,4.31
135,Kirby 3501,GBA,1994,Action,Atari,0.78,3.03,0.02,0.48,4.31
136,Mortal Kombat 4456,PS3,2007,Adventure,Sega,1.12,2.47,0.6,0.12,4.31
137,Mortal Kombat 1932,PS,2010,Action,Konami,3.85,0.18,0.19,0.09,4.31
138,NCAA Football 13764,XOne,1980,Fighting,Atari,3.73,0.44,0.06,0.06,4.29
139,Crash Bandicoot 5519,XOne,1988,Action,Microsoft Game Studios,0.26,3.15,0.11,0.77,4.29
140,Tekken 1492,PC,2016,Action,Capcom,2.81,0.09,1.13,0.25,4.28
141,Tomb Raider 15889,DC,1997,Misc,Nintendo,3.1,0.9,0.06,0.22,4.28
142,Street Fighter 8309,WiiU,1996,Fighting,Atari,2.39,1.24,0.55,0.09,4.27
143,Pro Evolution Soccer 11527,N64,2014,Shooter,Activision,1.05,2.86,0.14,0.22,4.27
144,Tomb Raider 6392,DC,2014,Role-Playing,505 Games,0.11,2.11,1.23,0.82,4.27
145,Star Fox 5903,N64,1986,Puzzle,Square Enix,1.08,0.35,2.79,0.04,4.26
146,World of Warcraft,PC,2004,Role-Playing,Activision,2.33,1.27,0.16,0.5,4.26
147,Tekken 6625,X360,2008,Role-Playing,Atari,3.24,0.26,0.16,0.6,4.26
148,Madden NFL 9478,WiiU,2002,Role-Playing,2K Games,1.25,0.7,1.92,0.38,4.25
149,NCAA Football 7221,Wii,2002,Misc,Electronic Arts,3.76,0.2,0.11,0.18,4.25
150,F-Zero 8736,PS4,1992,Misc,Sega,0.14,3.94,0.01,0.15,4.24
151,Star Fox 10081,DS,1988,Misc,Bethesda,3.97,0.19,0.07,0.01,4.24
152,NBA 11842,XB,1998,Role-Playing,2K Games,2.78,1.2,0.16,0.09,4.23
153,Metroid 10208,N64,2013,Puzzle,Bandai,1.6,1.69,0.61,0.33,4.23
154,Mega Man 5597,PSP,1984,Role-Playing,Microsoft Game Studios,1.68,1.98,0.49,0.08,4.23
155,NBA 5340,XB,2014,Misc,Bethesda,0.41,3.53,0.09,0.17,4.2
156,Pro Evolution Soccer 4413,X360,1994,Shooter,2K Games,0.6,1.49,2.0,0.1,4.19
157,Silent Hill 6013,SAT,2008,Misc,Bethesda,0.68,2.92,0.11,0.48,4.19
158,Kirby 4278,DS,1996,Action,Sega,3.08,0.03,0.46,0.62,4.19
159,Madden NFL 5562,PS2,2009,Puzzle,2K Games,1.41,1.47,0.76,0.55,4.19
160,Sonic the Hedgehog 10730,NES,2011,Adventure,505 Games,2.63,1.14,0.1,0.32,4.19
161,Dead or Alive 3244,PS3,2000,Action,Konami,1.8,1.29,0.34,0.76,4.19
162,Mortal Kombat 13693,GC,1982,Strategy,Deep Silver,2.15,0.75,1.19,0.1,4.19
163,Mortal Kombat 2486,GC,1980,Racing,THQ,0.15,2.83,1.11,0.1,4.19
164,Mega Man 1331,SNES,2014,Action,THQ,2.78,0.08,1.05,0.27,4.18
165,Mega Man 6770,WiiU,2013,Simulation,2K Games,1.64,1.82,0.51,0.21,4.18
166,Metal Gear Solid 6904,N64,2008,Adventure,Activision,0.3,3.05,0.58,0.23,4.16
167,Street Fighter 6458,PS4,2011,Shooter,Nintendo,3.73,0.28,0.03,0.12,4.16
168,Crash Bandicoot 8224,SNES,2014,Strategy,Bethesda,1.44,2.11,0.39,0.21,4.15
169,NBA 5949,PSP,1994,Racing,505 Games,0.75,2.85,0.38,0.16,4.14
170,Kirby 2213,3DS,2005,Fighting,THQ,3.25,0.01,0.82,0.06,4.14
171,Star Fox 2155,PC,2014,Sports,Atari,2.82,1.24,0.07,0.01,4.14
172,Dead or Alive 15239,N64,1984,Simulation,Activision,1.09,2.8,0.22,0.03,4.14
173,Castlevania 3389,PC,1999,Adventure,Capcom,1.2,2.18,0.47,0.28,4.13
174,Final Fantasy 11974,Wii,1987,Fighting,Konami,3.46,0.1,0.36,0.21,4.13
175,F-Zero 3871,WiiU,2016,Role-Playing,2K Games,1.4,1.01,1.19,0.53,4.13
176,Dragon Quest 2712,WiiU,2010,Action,Nintendo,1.66,2.04,0.4,0.03,4.13
177,Spyro 1244,PS2,2007,Platform,Atari,0.23,3.34,0.39,0.17,4.13
178,Donkey Kong 2455,XOne,2009,Racing,Ubisoft,2.73,0.13,0.78,0.48,4.12
179,F-Zero 7885,PSP,1987,Misc,Microsoft Game Studios,2.09,1.14,0.65,0.24,4.12
180,Dead or Alive 8696,PS2,2009,Racing,Microsoft Game Studios,1.16,2.43,0.38,0.14,4.11
181,F-Zero 5181,XOne,1993,Strategy,Microsoft Game Studios,2.19,1.28,0.3,0.34,4.11
182,Metal Gear Solid 2150,PSP,2012,Racing,Ubisoft,3.25,0.25,0.59,0.02,4.11
183,Mega Man 14943,PS3,2004,Strategy,THQ,1.62,2.3,0.12,0.07,4.11
184,Tekken 6582,WiiU,2002,Platform,Deep Silver,2.72,0.62,0.36,0.4,4.1
185,Metal Gear Solid 6782,GC,2009,Racing,Konami,2.34,1.04,0.2,0.51,4.09
186,Madden NFL 9583,N64,2014,Puzzle,Atari,1.88,1.73,0.41,0.06,4.08
187,Tiger Woods PGA Tour 7117,PSP,1999,Puzzle,Capcom,1.16,2.2,0.38,0.34,4.08
188,Tekken 489,GC,2007,Racing,Take-Two Interactive,2.96,0.64,0.43,0.05,4.08
189,Castlevania 13917,PC,1988,Misc,Nintendo,1.58,1.55,0.79,0.16,4.08
190,Tiger Woods PGA Tour 6702,SAT,2002,Racing,505 Games,2.23,0.98,0.69,0.17,4.07
191,Tomb Raider 13385,PS4,1989,Simulation,Nintendo,1.25,1.79,0.39,0.64,4.07
192,Pro Evolution Soccer 2921,WiiU,1999,Shooter,Activision,3.45,0.21,0.36,0.05,4.07
193,NBA 11566,PC,2006,Fighting,Konami,3.53,0.02,0.2,0.32,4.07
194,Dead or Alive 28,GBA,2005,Simulation,Electronic Arts,1.0,2.79,0.27,0.01,4.07
195,Mortal Kombat 3115,3DS,2000,Platform,Electronic Arts,2.54,0.01,1.47,0.04,4.06
196,Tekken 4679,X360,2015,Action,Sony Computer Entertainment,2.09,1.59,0.09,0.29,4.06
197,NBA 9447,PSP,2016,Misc,2K Games,2.31,0.93,0.31,0.51,4.06
198,Madden NFL 13032,WiiU,2003,Adventure,Sony Computer Entertainment,2.94,0.45,0.58,0.08,4.05
199,Metal Gear Solid 3412,X360,2016,Puzzle,Capcom,2.59,1.24,0.1,0.12,4.05
200,Tiger Woods PGA Tour 11301,WiiU,2004,Misc,Bandai,2.58,0.4,0.96,0.1,4.04
201,Street Fighter 15487,XB,2010,Fighting,Atari,2.75,0.42,0.72,0.15,4.04
202,Tomb Raider 15438,PS,1987,Role-Playing,Capcom,0.88,1.14,1.83,0.18,4.03
203,Final Fantasy 9297,X360,1980,Action,Electronic Arts,0.85,2.02,0.69,0.47,4.03
204,Silent Hill 512,SAT,2014,Platform,Square Enix,0.75,2.37,0.08,0.82,4.02
205,Donkey Kong 13089,XOne,1993,Adventure,LucasArts,0.57,1.4,1.12,0.92,4.01
206,Madden NFL 1631,DC,1983,Platform,LucasArts,0.94,2.3,0.5,0.27,4.01
207,Donkey Kong 6741,SNES,1999,Shooter,Sega,3.47,0.04,0.23,0.27,4.01
208,Star Fox 11004,X360,1981,Action,2K Games,2.08,0.64,0.89,0.4,4.01
209,F-Zero 4084,PS4,2016,Shooter,Capcom,3.07,0.08,0.71,0.14,4.0
210,Silent Hill 7821,DS,2012,Fighting,Sony Computer Entertainment,1.4,1.83,0.61,0.16,4.0
211,F-Zero 5855,XB,2011,Strategy,Sega,1.9,1.72,0.07,0.31,4.0
212,Star Fox 2698,XB,2005,Action,Bandai,1.13,2.48,0.21,0.17,3.99
213,Metal Gear Solid 7550,N64,2016,Sports,Sega,1.8,1.78,0.38,0.03,3.99
214,Star Fox 2963,WiiU,1985,Adventure,Deep Silver,1.55,1.29,1.09,0.06,3.99
215,NCAA Football 14635,XOne,1999,Action,Sony Computer Entertainment,1.64,1.74,0.51,0.09,3.98
216,NCAA Football 10956,GBA,2001,Platform,Square Enix,2.37,0.63,0.76,0.22,3.98
217,Kirby 88,PS3,1990,Misc,Konami,0.97,1.18,1.69,0.13,3.97
218,Mortal Kombat 980,GBA,2012,Adventure,LucasArts,0.72,2.23,0.56,0.46,3.97
219,Madden NFL 10820,Wii,2008,Puzzle,THQ,1.44,1.05,1.05,0.42,3.96
220,Mortal Kombat 14783,SAT,2005,Puzzle,2K Games,3.23,0.04,0.52,0.17,3.96
221,Dragon Quest 1368,PS,2013,Shooter,Bethesda,2.57,0.4,0.54,0.45,3.96
222,Pro Evolution Soccer 10734,PS4,1985,Adventure,Deep Silver,1.64,2.26,0.02,0.03,3.95
223,Spyro 9811,SAT,1998,Shooter,505 Games,2.95,0.13,0.75,0.12,3.95
224,Tiger Woods PGA Tour 10182,X360,1986,Shooter,THQ,0.9,2.81,0.2,0.04,3.95
225,Street Fighter 13439,3DS,1991,Role-Playing,505 Games,1.88,0.7,1.27,0.09,3.94
226,Mortal Kombat 3859,SNES,2005,Shooter,Square Enix,2.69,0.76,0.15,0.34,3.94
227,Madden NFL 14031,WiiU,1982,Strategy,Ubisoft,3.26,0.52,0.13,0.03,3.94
228,Tekken 5674,DC,2008,Racing,Bethesda,1.76,1.07,0.06,1.05,3.94
229,Metal Gear Solid 372,N64,1991,Strategy,Bethesda,1.82,1.31,0.15,0.65,3.93
230,Dead or Alive 3950,3DS,1988,Platform,Bethesda,0.94,1.3,1.32,0.36,3.92
231,Dead or Alive 9898,PS,1989,Platform,Microsoft Game Studios,3.66,0.07,0.18,0.01,3.92
